epochs,loss,accuracy0,6227.206164479256,0.3167
1,5668.335896492004,0.3771
2,5599.604042768478,0.3789
3,5553.146901011467,0.3443
4,5675.086773633957,0.1459
5,6559.452660560608,0.1583
6,6393.193883061409,0.2888
7,6058.351270079613,0.3262
8,5905.334667801857,0.3514
9,5892.190336942673,0.3299
10,5916.621647119522,0.3661
11,5869.154618501663,0.3677
12,5836.67308986187,0.3034
13,5806.596871852875,0.3743
14,5761.944741725922,0.3685
15,5757.05675137043,0.1897
16,5755.994674682617,0.311
17,5753.507919192314,0.3732
18,6208.51912355423,0.2044
19,6516.6097239255905,0.2017
20,6520.109599709511,0.2518
21,6510.183940649033,0.2543
22,6384.399255990982,0.3359
23,6173.254055261612,0.3303
24,6041.638340592384,0.2629
25,5953.484524726868,0.3565
26,6210.968595743179,0.2765
27,6391.166532158852,0.3333
28,6212.141800761223,0.3143
29,6001.111387491226,0.3427
30,5943.8202213048935,0.3528
31,5874.341336965561,0.3542
32,5833.928683042526,0.2713
33,5823.897128939629,0.2656
34,5776.362205028534,0.1772
35,5817.891795992851,0.3445
36,5810.984509706497,0.198
37,5811.628366470337,0.3644
38,6521.578736901283,0.2081
39,6350.654242277145,0.3286
40,6048.340084314346,0.3333
41,5953.325574040413,0.3109
42,5844.826060295105,0.3572
43,5820.23204934597,0.3631
44,5774.835115194321,0.3268
45,5755.89591217041,0.3554
46,5739.775645971298,0.3291
47,5733.633137822151,0.3326
48,5733.555765271187,0.2232
49,5695.835092663765,0.3649
