epochs,loss,accuracy0,8090.045108914375,0.3406
1,5744.079199790955,0.1
2,5803.732268214226,0.356
3,5924.422278046608,0.1
4,5712.627169132233,0.3646
5,5703.643463611603,0.1
6,5800.083121538162,0.3314
7,5843.463107466698,0.3488
8,5916.790301680565,0.3473
9,5611.466279864311,0.3576
10,5665.3035036325455,0.3696
11,5639.972053408623,0.1
12,5565.110634684563,0.1
13,5529.023782968521,0.3014
14,5729.736257195473,0.3333
15,5523.338476061821,0.2756
16,5439.97814977169,0.3689
17,5460.107109308243,0.3662
18,5634.898241281509,0.3653
19,5651.863823533058,0.2136
20,5624.1750375032425,0.1
21,5637.9680832624435,0.3447
22,5594.580346941948,0.3506
23,5707.296412944794,0.1
24,5648.300881147385,0.3607
25,5690.181461453438,0.3516
26,5637.855673789978,0.3689
27,5513.164198517799,0.3544
28,5549.68645632267,0.3263
29,5466.688217997551,0.1
30,5471.597128510475,0.2925
31,5532.820133924484,0.1
32,5592.819152832031,0.3616
33,5458.608039140701,0.1
34,5529.745078325272,0.2893
35,5458.006286859512,0.1
36,5473.929146409035,0.3305
37,5503.10265994072,0.352
38,5507.019405007362,0.1
39,5493.107804059982,0.308
40,5487.285251617432,0.2348
41,5571.946670532227,0.3357
42,5552.931448936462,0.3484
43,5536.606554508209,0.1
44,5538.198343634605,0.3598
45,5529.61530995369,0.3423
46,5412.885029435158,0.3583
47,5543.503016471863,0.347
48,5590.957150816917,0.3555
49,5573.319034337997,0.3534
50,5533.50147151947,0.357
51,5494.279057621956,0.3347
52,5425.19837141037,0.3009
53,5470.206729650497,0.3572
54,5475.071274995804,0.3602
55,5455.507556080818,0.3519
56,5422.673845171928,0.3545
57,5490.635876297951,0.3549
58,5390.933984160423,0.3644
59,5337.682922840118,0.2774
60,5364.75077188015,0.3655
61,5372.103421330452,0.1
62,5381.836247205734,0.1
63,5397.231115102768,0.3038
64,5434.606628894806,0.1
65,5438.863090991974,0.3632
66,5365.0239174366,0.3655
67,5381.173480629921,0.3658
68,5415.449820995331,0.37
69,5366.66263127327,0.3615
70,5318.368523001671,0.3628
71,5333.096682906151,0.3645
72,5370.250630021095,0.3643
73,5439.1297389268875,0.3502
74,5522.361746668816,0.3659
75,5361.294143199921,0.3633
76,5503.716962218285,0.3654
77,5431.796422958374,0.3606
78,5485.211228251457,0.3564
79,5388.070419073105,0.3648
